TimeStamp,RAW
2021-11-05T14:00:00.5673000Z,T|110875||151.63|60||1636120800.5673|||||||||
2021-11-05T14:00:01.3427000Z,T|110932||151.64|100||1636120801.3427|||||||||
2021-11-05T14:00:01.3749000Z,T|110940||151.65|10||1636120801.3749|||||||||
2021-11-05T14:00:02.3604000Z,T|111032||151.64|100||1636120802.3604|||||||||
2021-11-05T14:00:02.3604000Z,T|111034||151.64|100||1636120802.3604|||||||||
2021-11-05T14:00:03.0960000Z,T|111074||151.64|100||1636120803.096|||||||||
2021-11-05T14:00:04.0803000Z,T|111120||151.64|100||1636120804.0803|||||||||
2021-11-05T14:00:04.0803000Z,T|111122||151.64|100||1636120804.0803|||||||||
2021-11-05T14:00:04.3475000Z,T|111148||151.65|100||1636120804.3475|||||||||
2021-11-05T14:00:08.0769000Z,T|111309||151.62|100||1636120808.0769|||||||||
2021-11-05T14:00:09.3455000Z,T|111396||151.61|100||1636120809.3455|||||||||
2021-11-05T14:00:10.1291000Z,T|111433||151.61|100||1636120810.1291|||||||||
2021-11-05T14:00:10.3423000Z,T|111455||151.61|8||1636120810.3423|||||||||
2021-11-05T14:00:10.3863000Z,T|111460||151.61|7||1636120810.3863|||||||||
2021-11-05T14:00:10.8722000Z,T|111498||151.6|86||1636120810.8722|||||||||
2021-11-05T14:00:10.9286000Z,T|111520||151.61|15||1636120810.9286|||||||||
2021-11-05T14:00:11.6198000Z,T|111557||151.62|3||1636120811.6198|||||||||
2021-11-05T14:00:13.1490000Z,T|111645||151.61|100||1636120813.149|||||||||
2021-11-05T14:00:13.1547000Z,T|111649||151.61|100||1636120813.1547|||||||||
2021-11-05T14:00:13.2388000Z,T|111670||151.605|100||1636120813.2388|||||||||
2021-11-05T14:00:13.4270000Z,T|111680||151.61|98||1636120813.427|||||||||
2021-11-05T14:00:13.4270000Z,T|111682||151.62|11||1636120813.427|||||||||
2021-11-05T14:00:13.4270000Z,T|111684||151.62|100||1636120813.427|||||||||
2021-11-05T14:00:13.4373000Z,T|111701||151.63|3||1636120813.4373|||||||||
2021-11-05T14:00:14.0133000Z,T|111736||151.63|27||1636120814.0133|||||||||
2021-11-05T14:00:16.1950000Z,T|111836||151.65|7||1636120816.195|||||||||
2021-11-05T14:00:16.2231000Z,T|111847||151.67|10||1636120816.2231|||||||||
2021-11-05T14:00:16.2231000Z,T|111849||151.67|100||1636120816.2231|||||||||
2021-11-05T14:00:16.2231000Z,T|111851||151.67|100||1636120816.2231|||||||||
2021-11-05T14:00:16.2231000Z,T|111853||151.67|100||1636120816.2231|||||||||
2021-11-05T14:00:17.2071000Z,T|111913||151.67|100||1636120817.2071|||||||||
2021-11-05T14:00:17.2071000Z,T|111915||151.67|63||1636120817.2071|||||||||
2021-11-05T14:00:17.2071000Z,T|111917||151.67|10||1636120817.2071|||||||||
2021-11-05T14:00:17.2071000Z,T|111919||151.67|100||1636120817.2071|||||||||
2021-11-05T14:00:17.2123000Z,T|111929||151.66|100||1636120817.2123|||||||||
2021-11-05T14:00:17.3988000Z,T|112076||151.65|100||1636120817.3988|||||||||
2021-11-05T14:00:18.4049000Z,T|112141||151.64|100||1636120818.4049|||||||||
2021-11-05T14:00:19.7327000Z,T|112199||151.65|10||1636120819.7327|||||||||
2021-11-05T14:00:20.3271000Z,T|112204||151.65|1||1636120820.3271|||||||||
2021-11-05T14:00:20.3271000Z,T|112209||151.65|10||1636120820.3271|||||||||
2021-11-05T14:00:20.9354000Z,T|112248||151.66|100||1636120820.9354|||||||||
2021-11-05T14:00:20.9354000Z,T|112250||151.66|100||1636120820.9354|||||||||
2021-11-05T14:00:21.6293000Z,T|112302||151.66|100||1636120821.6293|||||||||
2021-11-05T14:00:21.6293000Z,T|112304||151.66|100||1636120821.6293|||||||||
2021-11-05T14:00:21.6293000Z,T|112322||151.65|100||1636120821.6293|||||||||
2021-11-05T14:00:21.6293000Z,T|112331||151.65|61||1636120821.6293|||||||||
2021-11-05T14:00:21.6293000Z,T|112333||151.65|39||1636120821.6293|||||||||
2021-11-05T14:00:21.6351000Z,T|112343||151.64|100||1636120821.6351|||||||||
2021-11-05T14:00:21.6351000Z,T|112345||151.64|100||1636120821.6351|||||||||
2021-11-05T14:00:21.6351000Z,T|112347||151.64|100||1636120821.6351|||||||||
2021-11-05T14:00:21.6413000Z,T|112466||151.64|100||1636120821.6413|||||||||
2021-11-05T14:00:21.6495000Z,T|112496||151.63|69||1636120821.6495|||||||||
2021-11-05T14:00:21.8344000Z,T|112505||151.63|100||1636120821.8344|||||||||
2021-11-05T14:00:21.8344000Z,T|112507||151.64|100||1636120821.8344|||||||||
2021-11-05T14:00:21.8344000Z,T|112515||151.64|100||1636120821.8344|||||||||
2021-11-05T14:00:21.8986000Z,T|112529||151.65|100||1636120821.8986|||||||||
