Exchange,Ticker,Provider,Weight
XNGS,WBA,ICE,0.286
XNGS,AAPL,ICE,13.752
XNGS,PCAR,ICE,0.302
XNGS,ANSS,ICE,0.18
XNGS,AEP,ICE,0.424
XNGS,WDAY,ICE,0.29
XNGS,ROST,ICE,0.287
XNGS,MELI,ICE,0.41
XNGS,LCID,ICE,0.215
XNGS,CPRT,ICE,0.251
XNGS,MCHP,ICE,0.329
XXXX,CEG,ICE,0.275
XNGS,MTCH,ICE,0.117
XNGS,ADP,ICE,0.932
XNGS,EA,ICE,0.335
XNGS,KHC,ICE,0.416
XNGS,ADI,ICE,0.727
XNGS,PAYX,ICE,0.389
XNGS,NTES,ICE,0.098
XNGS,BIDU,ICE,0.16
XNGS,CTSH,ICE,0.301
XNGS,FAST,ICE,0.255
XNGS,NVDA,ICE,2.538
XNGS,SIRI,ICE,0.232
XNGS,SPLK,ICE,0.124
XNGS,FTNT,ICE,0.409
XNGS,PEP,ICE,2.302
XNGS,COST,ICE,2.042
XNGS,ADSK,ICE,0.419
XNGS,KLAC,ICE,0.397
XNGS,NXPI,ICE,0.368
XNGS,SGEN,ICE,0.229
XNGS,SWKS,ICE,0.13
XNGS,MNST,ICE,0.445
XNGS,ASML,ICE,0.384
XNGS,CHTR,ICE,0.512
XNGS,INTC,ICE,1.068
XNGS,OKTA,ICE,0.08
XNGS,ADBE,ICE,1.382
XNGS,PANW,ICE,0.467
XNGS,ZS,ICE,0.206
XNGS,LRCX,ICE,0.488
XNGS,HON,ICE,1.187
XNGS,AMZN,ICE,7.063
XXXX,META,ICE,2.58
XNGS,DLTR,ICE,0.31
XNGS,SNPS,ICE,0.437
XNGS,AVGO,ICE,1.756
XNGS,FISV,ICE,0.596
XNGS,TEAM,ICE,0.271
XNGS,ISRG,ICE,0.752
XNGS,CMCSA,ICE,1.294
XNGS,DDOG,ICE,0.23
XNGS,DXCM,ICE,0.362
XNGS,GOOG,ICE,3.634
XNGS,TSLA,ICE,3.873
XNGS,GILD,ICE,0.819
XNGS,CTAS,ICE,0.393
XNGS,VRSN,ICE,0.185
XNGS,EBAY,ICE,0.203
XNGS,ATVI,ICE,0.548
XNGS,AMAT,ICE,0.684
XNGS,LULU,ICE,0.352
XNGS,PYPL,ICE,0.936
XNGS,CDNS,ICE,0.418
XNGS,QCOM,ICE,1.253
XNGS,DOCU,ICE,0.092
XNGS,AMGN,ICE,1.299
XNGS,AMD,ICE,0.915
XNGS,INTU,ICE,1.134
XNGS,MRNA,ICE,0.484
XNGS,NFLX,ICE,1.241
XNGS,KDP,ICE,0.514
XNGS,JD,ICE,0.205
XNGS,ABNB,ICE,0.462
XNGS,VRTX,ICE,0.742
XNGS,GOOGL,ICE,3.523
XNGS,TXN,ICE,1.407
XNGS,PDD,ICE,0.266
XNGS,CSX,ICE,0.568
XNGS,ORLY,ICE,0.454
XNGS,REGN,ICE,0.738
XNGS,ZM,ICE,0.196
XNGS,BIIB,ICE,0.374
XNGS,MDLZ,ICE,0.758
XNGS,BKNG,ICE,0.698
XNGS,MRVL,ICE,0.325
XNGS,CRWD,ICE,0.324
XNGS,MAR,ICE,0.48
XNGS,CSCO,ICE,1.709
XNGS,ILMN,ICE,0.334
XNGS,EXC,ICE,0.352
XNGS,SBUX,ICE,0.98
XNGS,TMUS,ICE,1.65
XNGS,MSFT,ICE,10.492
XNGS,ALGN,ICE,0.156
XNGS,XEL,ICE,0.321
XNGS,AZN,ICE,0.314
XNGS,ODFL,ICE,0.281
XNGS,IDXX,ICE,0.271
XNGS,MU,ICE,0.596
XNGS,VRSK,ICE,0.253
