Index,Name,Ticker,Exchange,Primary,Isin,Cusip,Sedol
"['Nasdaq 100', 'Nasdaq Composite']",Zegona Communications Plc,ZEGl,CHIX,XLON,GB00BVGBY890,G7605F103,BVGBY89
"['Nasdaq 100', 'Nasdaq Composite']",Astrazeneca Plc Astrazeneca Adr Representing 05 Ord Shs,0A4J,XLON,XLOM,US0463531089,046353108,2989022
"['Nasdaq 100', 'Nasdaq Composite']",Mercadolibre Inc Mercadolibre Ord Shs,0K0E,XLON,XLOM,US58733R1023,58733R102,BDDXSP7
"['Nasdaq 100', 'Nasdaq Composite']",Mercadolibre Inc,MELI,XNGS,XNGS,US58733R1023,58733R102,B23X1H3
"['Nasdaq 100', 'Nasdaq Composite']",Mercadolibre Inc,MELI,BATS,XNGS,US58733R1023,58733R102,B23X1H3
['Nasdaq 100'],Liberty Global Plc Liberty Global Ord Shs Class C,0XHS,XLON,XLOM,GB00B8W67B19,G5480U120,BDDY195
['Nasdaq 100'],Liberty Latin America Ltd,LILA,BATS,XNGS,BMG9001E1021,,BD9Q3P5
['Nasdaq 100'],Vodafone Group Plc Vodafone Group Adr Representing 10 Ord S,0LQQ,XLON,XLOM,US92857W3088,92857W308,BYZHGV6
['Nasdaq 100'],Check Point Software Technologies L Check Point Software Technologies Ord Sh,0Y9S,XLON,XLOM,IL0010824113,M22465104,B0Z87W9
['Nasdaq 100'],Liberty Global Plc Cl B,LBTYB,XNGS,XNGS,GB00B8W67779,G5480U112,B8W6777
['Nasdaq 100'],Liberty Global Plc,LBTYA,BATS,XNGS,GB00B8W67662,G5480U104,B8W6766
['Nasdaq Composite'],Curevac Nv,CVAC,BATS,XNMS,NL0015436031,N2451R105,BN4RD42
['Nasdaq 100'],Liberty Global Plc,LBTYB,BATS,XNGS,GB00B8W67779,G5480U112,B8W6777
['Nasdaq Composite'],Curevac Nv,CVAC,XNMS,XNMS,NL0015436031,N2451R105,BN4RD42
['Nasdaq 100'],Check Point Software Technologi,CHKP,XNGS,XNGS,IL0010824113,,2181334
['Nasdaq 100'],Liberty Global Plc,LBTYK,BATS,XNGS,GB00B8W67B19,G5480U120,B8W67B1
['Nasdaq 100'],Liberty Global Plc - A,LBTYA,XNGS,XNGS,GB00B8W67662,G5480U104,B8W6766
['Nasdaq 100'],Check Point Software Technologies,CHKP,BATS,XNGS,IL0010824113,M22465104,2181334
['Nasdaq 100'],Liberty Latin America Ltd Liberty Latin America Ord Shs Class C,0MDS,XLON,XLOM,BMG9001E1286,,BDD0Q21
['Nasdaq 100'],Liberty Latin America Ltd Liberty Latin America Ord Shs Class A,0MDR,XLON,XLOM,BMG9001E1021,,BDCXLC6
['Nasdaq 100'],Vodafone Group Plc,VODl,CHIX,XLON,GB00BH4HKS39,G93882192,BH4HKS3
['Nasdaq 100'],Liberty Latin America Ltd,LILAK,BATS,XNGS,BMG9001E1286,,BD9Q3Q6
['Nasdaq 100'],Liberty Global Plc Liberty Global Ord Shs Class A,0XHR,XLON,XLOM,GB00B8W67662,G5480U104,BDDY184
"['Nasdaq 100', 'Nasdaq Composite', 'Snp 500']",Seagate Technology Holdings Plc,STX,BATS,XNGS,IE00BKVD2N49,G7997R103,BKVD2N4
"['Nasdaq 100', 'Nasdaq Composite', 'Snp 500']",Nxp Semiconductors N V,NXPI,BATS,XNGS,NL0009538784,N6596X109,B505PN7
"['Nasdaq 100', 'Nasdaq Composite', 'Snp 500']",Seagate Technology Holdings Pl,STX,XNGS,XNGS,,,BKVD2N4
"['Nasdaq 100', 'Nasdaq Composite', 'Snp 500']",Nxp Semiconductors Nv Nxp Semiconductors Ord Shs,0EDE,XLON,XLOM,NL0009538784,N6596X109,BFWMVQ1
"['Nasdaq 100', 'Nasdaq Composite', 'Snp 500']",Nxp Semiconductors Nv,NXPI,XNGS,XNGS,NL0009538784,N6596X109,B505PN7
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Splunk Inc,SPLK,BATS,XNGS,US8486371045,848637104,B424494
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Marvell Technology Inc,MRVL,BATS,XNGS,US5738741041,573874104,BNKJSM5
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Zscaler Inc,ZS,BATS,XNGS,US98980G1022,98980G102,BZ00V34
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Splunk Inc,SPLK,XNGS,XNGS,US8486371045,848637104,B424494
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Splunk Inc Splunk Ord Shs,0R09,XLON,XLOM,US8486371045,848637104,BSJC961
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Sirius Xm Holdings,SIRI,XNGS,XNGS,US82968B1035,82968B103,BGLDK10
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Marvell Technology Inc,MRVL,XNGS,XNGS,US5738741041,573874104,BNKJSM5
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Team Inc,TISI,BATS,XNYS,US8781551002,878155100,2879123
"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",Sirius Xm Holdings Inc,SIRI,BATS,XNGS,US82968B1035,82968B103,BGLDK10
