Name,Ticker,Exchange,Primary,Country,Currency
Proshares Trust Proshares Ultra Semiconductors,USD,BATS,XNYS,US,USD
Sprott Etf Tr Junior Gold Miners Etf,SGDJ,BATS,XNYS,US,USD
Optimize Ai Smart Sentiment Event-Driven Etf,OAIE,BATS,XNYS,US,USD
Proshares Trust Ultrashort Dow 30 Post Rev Split,DXD,BATS,XNYS,US,USD
Ishares Trust Aaa - A Rated Corp Bd Etf,QLTA,BATS,XNYS,US,USD
Ishares Trust Robotics And Artfcial Intelgnc Multsctr,IRBO,BATS,XNYS,US,USD
Franklin Templeton Etf Tr Libertyq Global Equity Etf,FLQG,BATS,XNYS,US,USD
Schwab Strategic Tr Fundamental Emerging Mkts Large Co Index,FNDE,BATS,XNYS,US,USD
Pacer Lunt Large Cap Alternator Etf,ALTL,BATS,XNYS,US,USD
Franklin Templeton Etf Tr Ftse Canada Etf,FLCA,BATS,XNYS,US,USD
Vaneck Inflation Allocation Etf,RAAX,BATS,XNYS,US,USD
Spdr Series Trust Portfolio High Yield Bond Etf,SPHY,BATS,XNYS,US,USD
Pacer Fds Tr Benchmark Indstrial Real Estate Sctr Etf,INDS,BATS,XNYS,US,USD
Xtrackers High Beta High Yield Bond Etf,HYUP,BATS,XNYS,US,USD
Janus Detroit Street Trust Henderson Short Duration Income Etf,VNLA,BATS,XNYS,US,USD
Etracs Monthly Pay 15X Leveraged Closed-End Fund Index Etn,CEFD,BATS,XNYS,US,USD
Spdr Series Trust Ftse Intl Govt Inflation Protectd Bd Etf,WIP,BATS,XNYS,US,USD
Etfmg Prime 2X Daily Junior Silver Miners Etf,SILX,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Ii Pfd Etf,PGX,BATS,XNYS,US,USD
Dimensional World Ex US Core Equity 2 Etf,DFAX,BATS,XNYS,US,USD
Etracs 2X Leveraged Msci Us Quality Factor Tr Etn,QULL,BATS,XNYS,US,USD
Goldman Sachs Future Planet Equity Etf,GSFP,BATS,XNYS,US,USD
Proshares Trust Ultra Ftse Europe,UPV,BATS,XNYS,US,USD
Xtrackers SP Smallcap 600 Esg Etf,SMLE,BATS,XNYS,US,USD
Pacer Pacific Asset Floating Rate High Income Etf,FLRT,BATS,XNYS,US,USD
Inspire Corporate Bond Esg Etf,IBD,BATS,XNYS,US,USD
Defiance Next Gen Spac Derived Etf,SPAK,BATS,XNYS,US,USD
Etracs Monthly Pay 15X Leveraged Mortgage Reit Etn,MVRL,BATS,XNYS,US,USD
John Hancock Corporate Bond Etf,JHCB,BATS,XNYS,US,USD
Bny Mellon Us Small Cap Core Equity Etf,BKSE,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Ii Intl Corp Bd Etf,PICB,BATS,XNYS,US,USD
Cp High Yield Trend Etf,HYTR,BATS,XNYS,US,USD
Putnam Focused Large Cap Value Etf,PVAL,BATS,XNYS,US,USD
Goldman Sachs Future Tech Leaders Equity Etf,GTEK,BATS,XNYS,US,USD
Ishares Gold Trust Micro,IAUM,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily Emerging Mkts Bull 3X Post Split,EDC,BATS,XNYS,US,USD
Spdr Series Trust Spdr SP600 Small Cap Grwth Etf,SLYG,BATS,XNYS,US,USD
Exchange Traded Concepts Trust Robo Glbl Healthcare Tech Innovtin Etf,HTEC,BATS,XNYS,US,USD
Wisdomtree Trust Intl Hedged Qlty Div Gwth,IHDG,BATS,XNYS,US,USD
Advisorshares North Square Mckee Esg Core Bond Etf,MENV,BATS,XNYS,US,USD
Pimco Equity Series Rafi Dynamic Multi Factor Us Equity Etf,MFUS,BATS,XNYS,US,USD
Select Sector Spdr Trust Energy,XLE,BATS,XNYS,US,USD
Pimco Etf Trust Enhanced Short Maturity Active Etf Usd,MINT,BATS,XNYS,US,USD
Nightshares 500 Etf,NSPY,BATS,XNYS,US,USD
Proshares Trust Pshs Ulsht 7-10Y,PST,BATS,XNYS,US,USD
Allianzim US Large Cap Buffer10 Apr Etf,AZAA,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Value With Momentum Etf,SPVM,BATS,XNYS,US,USD
Ishares Inc Msci Australia Etf,EWA,BATS,XNYS,US,USD
Nifty India Financials Etf,INDF,BATS,XNYS,US,USD
