Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Wendel Se,MF,XPAR,XPAR,['Euro Stoxx 600'],FR0000121204,F98370103,7390113
Generix Group Sa,GENX,XPAR,XPAR,[],FR0010501692,F4368N259,B23S5P4
Memscap Sa,MEMS,XPAR,XPAR,[],FR0010298620,F6112P225,B114KJ6
Holcim Ltd,HOLN,XPAR,XPAR,['Euro Stoxx 600'],CH0012214059,H3816Q102,BZ3DNX4
Virbac Sa,VIRP,XPAR,XPAR,[],FR0000031577,F97900116,7399369
Bouygues SA,EN,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000120503,F11487125,4002121
Carmila Sa,CARM,XPAR,XPAR,[],FR0010828137,F1387K266,B4Y0230
Nhoa Sa,NHOA,XPAR,XPAR,[],FR0012650166,F76292105,BWV0D14
Robertet Sa,RBT,XPAR,XPAR,[],FR0000039091,F78649120,4899572
Vivendi Se,VIV,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000127771,F97982106,4834777
Sanofi SA,SAN,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120578,F5548N101,5671735
Solocal Group SA,LOCAL,XPAR,XPAR,[],FR00140006O9,F8569A172,BMF7DX3
Abionyx Pharma Sa,ABNX,XPAR,XPAR,[],FR0012616852,F0020A107,BWCGXB1
X-Fab Silicon Foundries Se,XFAB,XPAR,XPAR,[],BE0974310428,B9901Z101,BD97P41
Scor Se,SCR,XPAR,XPAR,['Euro Stoxx 600'],FR0010411983,F15561677,B1LB9P6
Altarea Sca,ALTA,XPAR,XPAR,[],FR0000033219,F0261X121,4821638
Eutelsat Communications SA,ETL,XPAR,XPAR,['Euro Stoxx 600'],FR0010221234,F3692M128,B0M7KJ7
Union Financiere De France Banque SA,UFF,XPAR,XPAR,[],FR0000034548,F95117101,4911982
Mcphy Energy Sa,MCPHY,XPAR,XPAR,[],FR0011742329,F6S02U102,BKF1Y61
Technip Energies NV,TE,XPAR,XPAR,[],NL0014559478,N8486R101,BNC0116
Plastiques Du Val De Loire Sa,PVL,XPAR,XPAR,[],FR0013252186,F9620W104,BYPFFX5
Trigano Sa,TRI,XPAR,XPAR,[],FR0005691656,F93488108,4457624
Aramis Group Sas,ARAMI,XPAR,XPAR,[],FR0014003U94,F0356L107,BMCQH08
Itesoft Sa,ITE,XPAR,XPAR,[],FR0004026151,F5319C102,4732785
Axa Sa,CS,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000120628,F06106102,7088429
La Francaise Des Jeux SA,FDJ,XPAR,XPAR,[],FR0013451333,F55896108,BG0SC10
Sqli Sa,SQI,XPAR,XPAR,[],FR0011289040,F8708K115,B8KMFF1
Rothschild Co,ROTH,XPAR,XPAR,[],FR0000031684,F7957F116,4672308
Interparfums SA,ITP,XPAR,XPAR,[],FR0004024222,F5262B119,4433839
Pcas SA,PCA,XPAR,XPAR,[],FR0000053514,F7522B103,5834903
Gecina Sa,GFC,XPAR,XPAR,['Euro Stoxx 600'],FR0010040865,F4268U171,7742468
Lagardere Sa,MMB,XPAR,XPAR,['Euro Stoxx 600'],FR0000130213,F5485U100,4547213
Transition Evergreen Sa,EGR,XPAR,XPAR,[],FR0000035784,F2624W105,5258901
Ab Science SA,AB,XPAR,XPAR,[],FR0010557264,F0028W101,B5VSTM2
Capgemini,CAP,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000125338,F4973Q101,4163437
Sword Group Se,SWP,XPAR,XPAR,[],FR0004180578,F91829105,B089JF6
Graines Voltz Sa,GRVO,XPAR,XPAR,[],FR0000065971,F98105103,5565634
Axway Software SA,AXW,XPAR,XPAR,[],FR0011040500,F0634C101,B3S0TP0
Lumibird SA,LBIRD,XPAR,XPAR,[],FR0000038242,F7627R110,5336324
Verimatrix Sa,VMX,XPAR,XPAR,[],FR0010291245,,B7H4WQ3
Vallourec Sa,VK,XPAR,XPAR,[],FR0013506730,F96708270,BLGWF90
Ekinops SA,EKI,XPAR,XPAR,[],FR0011466069,F2925C113,B9QN618
Burelle SA,BUR,XPAR,XPAR,[],FR0000061137,F12264127,4152769
Linedata Services SA,LIN,XPAR,XPAR,"['Dax', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",,F57273116,5967876
Covivio Hotels SCA,COVH,XPAR,XPAR,[],FR0000060303,F3831G149,B1WSPV4
Lysogene SA,LYS,XPAR,XPAR,[],FR0013233475,F58864103,BD31H32
Navya Sa,NAVYA,XPAR,XPAR,[],FR0013018041,F4952R104,BF2S5R8
Neurones Sa,NRO,XPAR,XPAR,[],FR0004050250,F6523H101,5972676
Technicolor Sa,TCH,XPAR,XPAR,[],FR0013505062,,BLR97V6
Derichebourg Sa,DBG,XPAR,XPAR,[],FR0000053381,F2546C237,4457088
Hermes International Sa,RMS,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000052292,F48051100,5253973
Electricite De France Sa,EDF,XPAR,XPAR,['Euro Stoxx 600'],FR0010242511,F2940H113,B0NJJ17
Mauna Kea Technologies Sa,MKEA,XPAR,XPAR,[],FR0010609263,F6099Z105,B6R2RH6
Stellantis Nv,STLA,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",NL00150001Q9,N82405106,BMD8F98
Dassault Aviation Sa,AM,XPAR,XPAR,['Euro Stoxx 600'],FR0014004L86,F24539169,BMT9L19
Diageo Plc,DGE,XPAR,XPAR,"['Euro Stoxx 600', 'Ftse 100', 'Ftse 350']",GB0002374006,G42089113,5399736
Xilam Animation Sa,XIL,XPAR,XPAR,[],FR0004034072,F9858B103,7300651
Ose Immunotherapeutics SA,OSE,XPAR,XPAR,[],FR0012127173,F6913C100,BWBSJ10
Sergeferrari Group Sa,SEFER,XPAR,XPAR,[],FR0011950682,F8318G108,BN791N0
Rubis Sca,RUI,XPAR,XPAR,['Euro Stoxx 600'],FR0013269123,F7686C152,BDT88L2
Sodexo Sa,SW,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000121220,F84941123,7062713
Parrot Sa,PARRO,XPAR,XPAR,[],FR0004038263,F7096P108,B04VST3
Hexaom Sa,HEXA,XPAR,XPAR,[],FR0004159473,,B0DCZT6
Voltalia SA,VLTSA,XPAR,XPAR,[],FR0011995588,F98177128,BNLPTL8
Esi Group Sa,ESI,XPAR,XPAR,[],FR0004110310,,4031910
Cnim Groupe Sa,COM,XPAR,XPAR,[],FR0000053399,D1548W102,4182023
Geneuro Sa,GNRO,XPAR,XPAR,[],CH0308403085,H33418106,BYZX380
Casino Guichard Perrachon,CO,XPAR,XPAR,['Euro Stoxx 600'],FR0000125585,F14133106,4178419
Genfit SA,GNFT,XPAR,XPAR,[],FR0004163111,F43738107,B03B708
Orege SA,OREGE,XPAR,XPAR,[],FR0010609206,F6775A101,B2R4YH3
Gl Events SA,GLO,XPAR,XPAR,[],FR0000066672,F7440W163,7154104
2Crsi Sa,2CRSI,XPAR,XPAR,[],FR0013341781,,BF2DSF2
Guerbet Sa,GBT,XPAR,XPAR,[],FR0000032526,F46788109,4395155
Lair Liquide SA,AI,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 2000', 'Russell 3000']",FR0000120073,F01764103,B1YXBJ7
Caterpillar Inc,CATR,XPAR,XPAR,"['Dow Jones', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000', 'Snp 500']",US1491231015,149123101,4180254
Engie Sa,ENGI,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0010208488,F7629A107,B0C2CQ3
Imerys Sa,NK,XPAR,XPAR,['Euro Stoxx 600'],FR0000120859,F49644101,B011GL4
