Ticker,Exchange,Weight
URW,XAMS,0.36
EN,XPAR,0.42
VIV,XPAR,0.44
ALO,XPAR,0.44
RNO,XPAR,0.48
ERF,XPAR,0.56
CA,XPAR,0.66
WLN,XPAR,0.77
ACA,XPAR,0.89
MT,XAMS,0.9
HO,XPAR,0.91
PUB,XPAR,0.95
VIE,XPAR,1.06
TEP,XPAR,1.13
ORA,XPAR,1.27
ML,XPAR,1.28
GLE,XPAR,1.33
SGO,XPAR,1.36
LR,XPAR,1.41
STM,XPAR,1.56
ENGI,XPAR,1.63
DSY,XPAR,1.67
CAP,XPAR,1.86
STLA,XPAR,2.13
BN,XPAR,2.23
KER,XPAR,2.48
RI,XPAR,2.59
SAF,XPAR,2.69
RMS,XPAR,3.01
CS,XPAR,3.3
DG,XPAR,3.42
EL,XPAR,3.5
BNP,XPAR,3.76
AIR,XPAR,4.35
AI,XPAR,4.65
SU,XPAR,5.23
OR,XPAR,5.46
SAN,XPAR,6.73
TTE,XPAR,9.55
MC,XPAR,11.58
