time_stamp,datetime.seconds,datetime.nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 15:00:01.726,1642168801,726000000,1,54.69,54.72,1,,,5
2022-01-14 15:00:01.726,1642168801,726000000,,,,,54.7,1,
2022-01-14 15:00:03.848,1642168803,847800000,2,54.69,54.72,2,,,7
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.7,96,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.7,1,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.7,1,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.7,1,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.71,3,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.71,50,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.71,14,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.71,50,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.71,22,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.7,5,
2022-01-14 15:00:03.848,1642168803,847800000,,,,,54.72,205,
2022-01-14 15:00:12.396,1642168812,395800000,1,54.69,54.72,1,,,17
2022-01-14 15:00:12.396,1642168812,395800000,,,,,54.71,15,
2022-01-14 15:00:12.396,1642168812,395800000,,,,,54.71,50,
2022-01-14 15:00:12.396,1642168812,395800000,,,,,54.71,15,
2022-01-14 15:00:12.396,1642168812,395800000,,,,,54.71,35,
2022-01-14 15:00:12.459,1642168812,459200000,,,,,54.71,30,
2022-01-14 15:00:19.786,1642168819,785500000,2,54.7,54.74,1,,,5
2022-01-14 15:00:20.369,1642168820,369000000,,,,,54.7,10,
2022-01-14 15:00:20.369,1642168820,369000000,,,,,54.7,10,
2022-01-14 15:00:20.369,1642168820,369000000,,,,,54.7,5,
2022-01-14 15:00:21.303,1642168821,302600000,,,,,54.7,1,
2022-01-14 15:00:21.303,1642168821,302600000,,,,,54.7,1,
2022-01-14 15:00:21.741,1642168821,740900000,1,54.7,54.75,10,,,0
2022-01-14 15:00:22.65,1642168822,65100000,,,,,54.72,9,
2022-01-14 15:00:22.65,1642168822,65100000,,,,,54.71,1,
2022-01-14 15:00:24.917,1642168824,916900000,2,54.7,54.74,1,,,0
2022-01-14 15:00:24.917,1642168824,916900000,,,,,54.7,3,
2022-01-14 15:00:49.846,1642168849,846000000,1,54.69,54.71,3,,,23
2022-01-14 15:00:49.846,1642168849,846000000,,,,,54.72,5,
2022-01-14 15:00:49.846,1642168849,846000000,,,,,54.71,134,
2022-01-14 15:00:49.846,1642168849,846000000,,,,,54.71,1,
2022-01-14 15:00:49.846,1642168849,846000000,,,,,54.7,5,
2022-01-14 15:00:49.856,1642168849,855900000,,,,,54.7,9,
2022-01-14 15:00:49.856,1642168849,855900000,,,,,54.7,39,
2022-01-14 15:00:49.856,1642168849,855900000,,,,,54.7,93,
2022-01-14 15:00:49.856,1642168849,855900000,,,,,54.7,65,
2022-01-14 15:00:51.271,1642168851,271100000,1,54.69,54.75,11,,,5
2022-01-14 15:00:54.714,1642168854,714000000,,,,,54.71,182,
2022-01-14 15:01:11.125,1642168871,125300000,1,54.69,54.75,10,,,9
2022-01-14 15:01:15.395,1642168875,394700000,,,,,54.7,5,
2022-01-14 15:01:20.547,1642168880,547100000,6,54.61,54.71,1,,,0
2022-01-14 15:01:22.739,1642168882,738900000,,,,,54.7,1,
2022-01-14 15:01:39.592,1642168899,592500000,1,54.69,54.75,10,,,2
2022-01-14 15:02:02.638,1642168922,638100000,,,,,54.69,2,
2022-01-14 15:02:02.638,1642168922,638100000,,,,,54.7,7,
2022-01-14 15:02:02.638,1642168922,638100000,,,,,54.7,6,
2022-01-14 15:02:05.618,1642168925,617900000,9,54.63,54.75,10,,,7
2022-01-14 15:02:09.765,1642168929,765300000,,,,,54.71,5,
2022-01-14 15:02:09.867,1642168929,867000000,1,54.64,54.75,10,,,3
2022-01-14 15:02:22.664,1642168942,663700000,,,,,54.7,3,
2022-01-14 15:02:45.186,1642168965,185900000,5,54.61,54.75,6,,,7
2022-01-14 15:02:45.186,1642168965,185900000,,,,,54.71,10,
2022-01-14 15:02:45.186,1642168965,185900000,,,,,54.71,5,
2022-01-14 15:02:52.261,1642168972,261400000,5,54.61,54.75,6,,,1
2022-01-14 15:02:52.261,1642168972,261400000,,,,,54.71,5,
2022-01-14 15:02:52.261,1642168972,261400000,,,,,54.71,5,
2022-01-14 15:02:52.261,1642168972,261400000,7,53.54,54.75,6,,,5
2022-01-14 15:02:52.261,1642168972,261400000,,,,,54.71,70,
2022-01-14 15:02:52.261,1642168972,261400000,,,,,54.72,58,
2022-01-14 15:02:52.261,1642168972,261400000,,,,,54.72,72,
2022-01-14 15:02:52.282,1642168972,282200000,,,,,54.72,4,
2022-01-14 15:02:56.904,1642168976,904000000,1,51.81,57.6,1,,,44
2022-01-14 15:02:56.904,1642168976,904000000,,,,,54.72,50,
2022-01-14 15:02:56.904,1642168976,904000000,,,,,54.71,50,
2022-01-14 15:02:56.911,1642168976,911400000,,,,,54.71,100,
2022-01-14 15:02:56.911,1642168976,911400000,,,,,54.71,50,
2022-01-14 15:02:56.911,1642168976,911400000,,,,,54.71,100,
2022-01-14 15:02:56.911,1642168976,911400000,3,53.01,56.43,1,,,15
2022-01-14 15:02:56.911,1642168976,911400000,,,,,54.7,97,
2022-01-14 15:02:56.911,1642168976,911400000,,,,,54.69,132,
2022-01-14 15:02:56.922,1642168976,922300000,,,,,54.69,10,
2022-01-14 15:02:56.922,1642168976,922300000,,,,,54.69,10,
2022-01-14 15:02:56.922,1642168976,922300000,2,54.67,54.7,1,,,18
2022-01-14 15:02:56.922,1642168976,922300000,,,,,54.69,98,
2022-01-14 15:02:56.922,1642168976,922300000,,,,,54.69,1,
2022-01-14 15:02:56.990,1642168976,989900000,,,,,54.69,1,
2022-01-14 15:02:56.990,1642168976,989900000,,,,,54.69,1,
2022-01-14 15:02:56.990,1642168976,989900000,1,54.68,54.7,1,,,2
2022-01-14 15:03:04.110,1642168984,110400000,,,,,54.69,8,
2022-01-14 15:03:04.271,1642168984,271300000,,,,,54.69,1,
2022-01-14 15:03:07.357,1642168987,357000000,,,,,54.69,42,
2022-01-14 15:03:10.467,1642168990,466600000,1,54.62,54.7,1,,,1
2022-01-14 15:03:10.467,1642168990,466600000,,,,,54.69,16,
2022-01-14 15:03:10.558,1642168990,557900000,,,,,54.68,34,
2022-01-14 15:03:13.544,1642168993,544400000,,,,,54.68,6,
2022-01-14 15:03:23.104,1642169003,103800000,,,,,54.7,1,
2022-01-14 15:03:23.920,1642169003,919800000,,,,,54.69,1,
2022-01-14 15:03:23.920,1642169003,919800000,,,,,54.69,1,
2022-01-14 15:03:23.920,1642169003,919800000,,,,,54.69,1,
2022-01-14 15:03:23.980,1642169003,979500000,,,,,54.69,2,
2022-01-14 15:03:23.980,1642169003,979500000,,,,,54.69,5,
2022-01-14 15:03:25.911,1642169005,911400000,,,,,54.69,15,
2022-01-14 15:03:26.20,1642169006,19500000,,,,,54.69,5,
2022-01-14 15:03:26.20,1642169006,19500000,,,,,54.69,5,
2022-01-14 15:03:26.454,1642169006,454000000,2,54.67,54.71,1,,,1
2022-01-14 15:03:33.411,1642169013,411300000,,,,,54.68,1,
2022-01-14 15:03:34.333,1642169014,332900000,,,,,54.68,5,
2022-01-14 15:03:38.193,1642169018,192900000,,,,,54.68,1,
2022-01-14 15:03:40.204,1642169020,204000000,2,53.01,56.43,1,,,7
2022-01-14 15:03:40.204,1642169020,204000000,,,,,54.69,1,
2022-01-14 15:03:40.400,1642169020,400100000,,,,,54.685,1,
2022-01-14 15:03:43.38,1642169023,38500000,,,,,54.7,10,
2022-01-14 15:03:52.584,1642169032,583900000,5,54.61,54.75,6,,,0
2022-01-14 15:03:58.928,1642169038,927900000,,,,,54.7,2,
2022-01-14 15:04:01.68,1642169041,68400000,,,,,54.68,5,
2022-01-14 15:04:09.765,1642169049,765300000,5,54.61,54.75,6,,,0
2022-01-14 15:04:13.376,1642169053,376200000,,,,,54.7,5,
2022-01-14 15:04:24.966,1642169064,965900000,7,53.54,54.75,6,,,40
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,95,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,10,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,10,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,1,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,1,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,1,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,100,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,50,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,27,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,50,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,50,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.72,1,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.72,1,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,50,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,50,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,100,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.7,20,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,10,
2022-01-14 15:04:24.966,1642169064,965900000,,,,,54.71,10,
2022-01-14 15:04:24.988,1642169064,988500000,1,51.81,57.6,1,,,6
2022-01-14 15:04:24.994,1642169064,994200000,,,,,54.72,1,
2022-01-14 15:04:26.751,1642169066,751100000,1,54.7,54.75,6,,,0
2022-01-14 15:04:29.511,1642169069,510900000,,,,,54.71,9,
2022-01-14 15:04:36.586,1642169076,586200000,,,,,54.7,25,
