Date,Ratio,Action,Instr1_position,Instr2_position,Profit
2018/08/15,0.488,Sold,-1,0.488,0
2018/08/16,0.495,Sold,-2,0.984,0
2018/08/17,0.506,Sold,-3,1.49,0
2018/08/20,0.504,Sold,-4,1.99,-7.11e-15
2018/08/21,0.507,Sold,-5,2.5,-7.11e-15
2018/08/22,0.502,Sold,-6,3,-7.11e-15
2018/08/23,0.501,Sold,-7,3.5,-7.11e-15
2018/08/24,0.499,Sold,-8,4,-7.11e-15
2018/08/27,0.497,Sold,-9,4.5,-7.11e-15
2018/08/28,0.498,Sold,-10,5,-7.11e-15
2018/08/29,0.498,Sold,-11,5.5,-7.11e-15
2018/08/30,0.503,Sold,-12,6,-7.11e-15
2018/08/31,0.507,Sold,-13,6.5,-7.11e-15
2018/09/04,0.511,Sold,-14,7.02,-7.11e-15
2018/09/05,0.523,Sold,-15,7.54,0
2018/09/06,0.513,Sold,-16,8.05,7.11e-15
2018/09/07,0.511,Sold,-17,8.56,7.11e-15
2018/09/10,0.499,Sold,-18,9.06,7.11e-15
2018/09/11,0.503,Sold,-19,9.56,0
2018/09/12,0.495,Sold,-20,10.1,0
2018/09/13,0.501,Sold,-21,10.6,0
2018/09/14,0.494,Sold,-22,11.1,0
2018/09/17,0.486,Sold,-23,11.5,0
2018/09/18,0.482,Sold,-24,12,0
2018/09/19,0.489,Sold,-25,12.5,0
2018/09/20,0.484,Sold,-26,13,0
2018/09/28,0.493,Sold,-27,13.5,0
2018/10/01,0.491,Sold,-28,14,0
2018/10/02,0.498,Sold,-29,14.5,0
2018/10/03,0.504,Sold,-30,15,0
2018/10/04,0.505,Sold,-31,15.5,7.11e-15
2018/10/05,0.5,Sold,-32,16,7.11e-15
2018/10/08,0.505,Sold,-33,16.5,1.42e-14
2018/10/09,0.505,Sold,-34,17,2.13e-14
2018/10/10,0.51,Sold,-35,17.5,2.13e-14
2018/10/11,0.506,Sold,-36,18,2.13e-14
2018/10/12,0.507,Sold,-37,18.5,2.13e-14
2018/10/15,0.505,Sold,-38,19,1.42e-14
2018/10/16,0.5,Sold,-39,19.5,2.13e-14
2018/10/17,0.499,Sold,-40,20,2.13e-14
2018/10/18,0.498,Sold,-41,20.5,2.13e-14
2018/10/19,0.505,Sold,-42,21,2.13e-14
2018/10/22,0.503,Sold,-43,21.5,2.13e-14
2018/10/23,0.515,Sold,-44,22,2.13e-14
2018/10/24,0.526,Sold,-45,22.6,2.13e-14
2018/10/25,0.507,Sold,-46,23.1,2.13e-14
2018/10/26,0.506,Sold,-47,23.6,2.84e-14
2018/10/29,0.511,Sold,-48,24.1,3.55e-14
2018/10/30,0.514,Sold,-49,24.6,3.55e-14
2018/10/31,0.512,Sold,-50,25.1,3.55e-14
2018/11/01,0.524,Sold,-51,25.6,2.84e-14
2018/11/05,0.469,Cleared,0,0,187
2018/11/06,0.473,Cleared,0,0,187
2018/11/08,0.466,Bought,1,-0.466,187
2018/11/09,0.467,Bought,2,-0.933,187
2018/11/12,0.454,Bought,3,-1.39,187
2018/11/13,0.449,Bought,4,-1.84,187
2018/11/14,0.445,Bought,5,-2.28,187
2018/11/15,0.446,Bought,6,-2.73,187
2018/11/16,0.447,Bought,7,-3.17,187
2018/11/19,0.444,Bought,8,-3.62,187
2018/11/20,0.435,Bought,9,-4.05,187
2018/11/21,0.429,Bought,10,-4.48,187
2018/11/23,0.418,Bought,11,-4.9,187
2018/11/26,0.41,Bought,12,-5.31,187
2018/11/27,0.407,Bought,13,-5.72,187
2018/11/28,0.407,Bought,14,-6.12,187
2018/11/29,0.407,Bought,15,-6.53,187
2018/11/30,0.403,Bought,16,-6.93,187
2018/12/03,0.412,Bought,17,-7.35,187
2018/12/04,0.407,Bought,18,-7.75,187
2018/12/06,0.4,Bought,19,-8.15,187
2018/12/07,0.402,Bought,20,-8.55,187
2018/12/10,0.394,Bought,21,-8.95,187
2018/12/11,0.388,Bought,22,-9.34,187
2018/12/12,0.388,Bought,23,-9.72,187
2018/12/13,0.39,Bought,24,-10.1,187
2018/12/14,0.39,Bought,25,-10.5,187
2018/12/17,0.398,Bought,26,-10.9,187
2018/12/18,0.399,Bought,27,-11.3,187
2018/12/19,0.388,Bought,28,-11.7,187
2018/12/20,0.386,Bought,29,-12.1,187
2018/12/21,0.384,Bought,30,-12.5,187
2018/12/24,0.39,Bought,31,-12.9,187
2018/12/26,0.391,Bought,32,-13.2,187
2018/12/27,0.386,Bought,33,-13.6,187
2018/12/28,0.389,Bought,34,-14,187
2018/12/31,0.388,Bought,35,-14.4,187
2019/01/02,0.39,Bought,36,-14.8,187
2019/01/03,0.365,Bought,37,-15.2,187
2019/01/04,0.364,Bought,38,-15.5,187
2019/01/07,0.362,Bought,39,-15.9,187
2019/01/08,0.367,Bought,40,-16.3,187
2019/01/09,0.368,Bought,41,-16.6,187
2019/01/10,0.371,Bought,42,-17,187
2019/01/11,0.37,Bought,43,-17.4,187
2019/01/14,0.367,Bought,44,-17.7,187
2019/01/15,0.364,Bought,45,-18.1,187
2019/01/16,0.368,Bought,46,-18.5,187
2019/01/17,0.367,Bought,47,-18.8,187
2019/01/18,0.364,Bought,48,-19.2,187
2019/01/22,0.363,Bought,49,-19.6,187
2019/01/23,0.361,Bought,50,-19.9,187
2019/01/24,0.359,Bought,51,-20.3,187
2019/01/25,0.368,Bought,52,-20.6,187
2019/01/28,0.372,Bought,53,-21,187
2019/01/29,0.376,Bought,54,-21.4,187
2019/01/30,0.388,Bought,55,-21.8,187
2019/01/31,0.398,Bought,56,-22.2,187
2019/02/04,0.405,Cleared,0,0,239
2019/02/05,0.406,Cleared,0,0,239
2019/02/06,0.411,Sold,-1,0.411,239
2019/02/07,0.406,Sold,-2,0.817,239
2019/02/08,0.403,Sold,-3,1.22,239
2019/02/11,0.402,Sold,-4,1.62,239
2019/02/12,0.4,Sold,-5,2.02,239
2019/02/13,0.398,Sold,-6,2.42,239
2019/02/14,0.399,Sold,-7,2.82,239
2019/02/15,0.394,Sold,-8,3.21,239
2019/02/19,0.395,Sold,-9,3.61,239
2019/02/20,0.401,Sold,-10,4.01,239
2019/02/21,0.391,Sold,-11,4.4,239
2019/02/22,0.39,Sold,-12,4.79,239
2019/02/25,0.39,Sold,-13,5.18,239
2019/02/27,0.39,Sold,-14,5.57,239
2019/02/28,0.386,Sold,-15,5.96,239
2019/03/01,0.389,Sold,-16,6.35,239
2019/03/04,0.392,Sold,-17,6.74,239
2019/03/05,0.393,Sold,-18,7.13,239
2019/03/06,0.39,Sold,-19,7.52,239
2019/03/07,0.391,Sold,-20,7.91,239
2019/03/08,0.391,Sold,-21,8.3,239
2019/03/11,0.396,Sold,-22,8.7,239
2019/03/12,0.398,Sold,-23,9.1,239
2019/03/13,0.397,Sold,-24,9.49,239
2019/03/14,0.401,Sold,-25,9.89,239
2019/03/15,0.401,Sold,-26,10.3,239
2019/03/18,0.4,Sold,-27,10.7,239
2019/03/19,0.396,Sold,-28,11.1,239
2019/03/20,0.4,Sold,-29,11.5,239
2019/03/21,0.406,Sold,-30,11.9,239
2019/03/22,0.408,Sold,-31,12.3,239
2019/03/25,0.401,Sold,-32,12.7,239
2019/03/26,0.396,Sold,-33,13.1,239
2019/03/27,0.404,Sold,-34,13.5,239
2019/03/28,0.403,Sold,-35,13.9,239
2019/03/29,0.403,Sold,-36,14.3,239
2019/04/01,0.402,Sold,-37,14.7,239
2019/04/02,0.407,Sold,-38,15.1,239
2019/04/03,0.407,Sold,-39,15.5,239
2019/04/04,0.41,Sold,-40,15.9,239
2019/04/05,0.411,Sold,-41,16.3,239
2019/04/08,0.417,Sold,-42,16.8,239
2019/04/09,0.418,Sold,-43,17.2,239
2019/04/10,0.417,Sold,-44,17.6,239
2019/04/11,0.413,Sold,-45,18,239
2019/04/12,0.411,Sold,-46,18.4,239
2019/04/15,0.411,Sold,-47,18.8,239
2019/04/16,0.412,Sold,-48,19.3,239
2019/04/17,0.417,Sold,-49,19.7,239
2019/04/18,0.413,Sold,-50,20.1,239
2019/04/22,0.413,Sold,-51,20.5,239
2019/04/23,0.414,Sold,-52,20.9,239
2019/04/24,0.414,Sold,-53,21.3,239
2019/04/25,0.397,Sold,-54,21.7,239
2019/04/26,0.393,Cleared,0,0,302
2019/04/29,0.394,Cleared,0,0,302
2019/04/30,0.384,Cleared,0,0,302
2019/05/02,0.414,Cleared,0,0,302
2019/05/03,0.411,Cleared,0,0,302
2019/05/06,0.407,Cleared,0,0,302
2019/05/07,0.404,Sold,-1,0.404,302
2019/05/08,0.404,Sold,-2,0.808,302
2019/05/10,0.388,Cleared,0,0,306
2019/05/15,0.379,Bought,1,-0.379,306
2019/05/16,0.369,Bought,2,-0.747,306
2019/05/17,0.369,Bought,3,-1.12,306
2019/05/20,0.363,Bought,4,-1.48,306
2019/05/21,0.368,Bought,5,-1.85,306
2019/05/22,0.358,Bought,6,-2.2,306
2019/05/23,0.356,Bought,7,-2.56,306
2019/05/24,0.354,Bought,8,-2.91,306
2019/05/28,0.353,Bought,9,-3.27,306
2019/05/29,0.355,Bought,10,-3.62,306
2019/05/30,0.355,Bought,11,-3.98,306
2019/05/31,0.354,Bought,12,-4.33,306
2019/06/03,0.362,Bought,13,-4.69,306
2019/06/04,0.365,Bought,14,-5.06,306
2019/06/05,0.363,Bought,15,-5.42,306
2019/06/06,0.362,Bought,16,-5.78,306
2019/06/07,0.362,Bought,17,-6.14,306
2019/06/10,0.363,Bought,18,-6.51,306
2019/06/11,0.369,Bought,19,-6.88,306
2019/06/12,0.369,Bought,20,-7.25,306
2019/06/13,0.367,Bought,21,-7.61,306
2019/06/14,0.364,Bought,22,-7.98,306
2019/06/17,0.365,Bought,23,-8.34,306
2019/06/18,0.367,Bought,24,-8.71,306
2019/06/19,0.365,Bought,25,-9.07,306
2019/06/20,0.364,Bought,26,-9.44,306
2019/06/21,0.363,Bought,27,-9.8,306
2019/06/24,0.36,Bought,28,-10.2,306
2019/06/25,0.366,Bought,29,-10.5,306
2019/06/26,0.373,Bought,30,-10.9,306
2019/06/27,0.372,Bought,31,-11.3,306
2019/06/28,0.369,Bought,32,-11.6,306
2019/07/01,0.371,Bought,33,-12,306
2019/07/02,0.371,Bought,34,-12.4,306
2019/07/03,0.372,Bought,35,-12.8,306
2019/07/05,0.373,Bought,36,-13.1,306
2019/07/08,0.365,Bought,37,-13.5,306
2019/07/09,0.369,Bought,38,-13.9,306
2019/07/10,0.369,Bought,39,-14.2,306
2019/07/11,0.364,Bought,40,-14.6,306
2019/07/12,0.366,Bought,41,-15,306
2019/07/15,0.369,Bought,42,-15.3,306
2019/07/16,0.373,Bought,43,-15.7,306
2019/07/17,0.373,Bought,44,-16.1,306
2019/07/19,0.371,Cleared,0,0,339
2019/07/22,0.374,Cleared,0,0,339
2019/07/25,0.369,Cleared,0,0,339
2019/07/26,0.367,Cleared,0,0,339
2019/07/29,0.372,Cleared,0,0,339
2019/07/30,0.372,Cleared,0,0,339
2019/08/02,0.373,Sold,-1,0.373,339
2019/08/07,0.368,Cleared,0,0,339
2019/08/08,0.366,Cleared,0,0,339
2019/08/12,0.369,Cleared,0,0,339
2019/08/13,0.377,Cleared,0,0,339
2019/08/16,0.379,Sold,-1,0.379,339
2019/08/19,0.38,Sold,-2,0.759,339
2019/08/20,0.383,Sold,-3,1.14,339
2019/08/21,0.383,Sold,-4,1.53,339
2019/08/22,0.386,Sold,-5,1.91,339
2019/08/23,0.38,Sold,-6,2.29,339
2019/08/26,0.381,Sold,-7,2.67,339
2019/08/27,0.376,Sold,-8,3.05,339
2019/08/28,0.379,Sold,-9,3.43,339
2019/08/29,0.378,Sold,-10,3.81,339
2019/08/30,0.379,Sold,-11,4.18,339
2019/09/03,0.378,Sold,-12,4.56,339
2019/09/04,0.38,Sold,-13,4.94,339
2019/09/05,0.381,Sold,-14,5.32,339
2019/09/06,0.383,Sold,-15,5.71,339
2019/09/09,0.389,Sold,-16,6.1,339
2019/09/10,0.398,Sold,-17,6.49,339
2019/09/11,0.411,Sold,-18,6.9,339
2019/09/12,0.406,Sold,-19,7.31,339
2019/09/13,0.398,Sold,-20,7.71,339
2019/09/16,0.403,Sold,-21,8.11,339
2019/09/17,0.402,Sold,-22,8.51,339
2019/09/18,0.402,Sold,-23,8.91,339
2019/09/19,0.392,Sold,-24,9.31,339
2019/09/20,0.39,Sold,-25,9.7,339
2019/09/23,0.393,Sold,-26,10.1,339
2019/09/24,0.396,Sold,-27,10.5,339
2019/09/25,0.397,Sold,-28,10.9,339
2019/09/26,0.394,Sold,-29,11.3,339
2019/09/27,0.397,Sold,-30,11.7,339
2019/09/30,0.403,Sold,-31,12.1,339
2019/10/01,0.41,Sold,-32,12.5,339
2019/10/02,0.407,Sold,-33,12.9,339
2019/10/03,0.405,Sold,-34,13.3,339
2019/10/04,0.411,Sold,-35,13.7,339
2019/10/07,0.414,Sold,-36,14.1,339
2019/10/08,0.414,Sold,-37,14.5,339
2019/10/09,0.411,Sold,-38,14.9,339
2019/10/10,0.414,Sold,-39,15.4,339
2019/10/11,0.423,Sold,-40,15.8,339
2019/10/14,0.423,Sold,-41,16.2,339
2019/10/15,0.416,Sold,-42,16.6,339
2019/10/16,0.417,Sold,-43,17,339
2019/10/17,0.421,Sold,-44,17.5,339
2019/10/18,0.43,Sold,-45,17.9,339
2019/10/21,0.434,Sold,-46,18.3,339
2019/10/22,0.44,Sold,-47,18.8,339
2019/10/23,0.443,Sold,-48,19.2,339
2019/10/24,0.435,Sold,-49,19.6,339
2019/10/25,0.438,Sold,-50,20.1,339
2019/10/28,0.432,Sold,-51,20.5,339
2019/10/29,0.426,Sold,-52,20.9,339
2019/10/30,0.421,Sold,-53,21.4,339
2019/10/31,0.434,Sold,-54,21.8,339
